msgid,msgstr
Only reports of type Report Builder can be edited,Iba správy typu Report Builder môžu byť upravené
Only standard DocTypes are allowed to be customized from Customize Form.,Iba štandardné DocTypes môžu byť prispôsobené z Customize Form.
Only the assignee can complete this to-do.,Iba osoba priradená k tejto úlohe ju môže dokončiť.
Only users involved in the document are listed,Sú uvedení iba používatelia zapojení do dokumentu.
Only {0} emailed reports are allowed per user.,Iba {0} e-mailových správ je povolených na používateľa.
Oops! Something went wrong.,"""Ups! Niečo sa pokazilo."""
Open,Otvoriť
Open,Otvoriť
Open Awesomebar,Otvoriť Awesomebar
Open Communication,Otvorená komunikácia
Open Document,Otvoriť dokument
Open Documents,Otvoriť dokumenty
Open Help,Otvoriť pomoc
Open Reference Document,Otvoriť referenčný dokument
Open Settings,Otvoriť nastavenia
Open Source Applications for the Web,Otvorené aplikácie pre web
Open URL in a New Tab,Otvoriť URL v novom okne
Open a dialog with mandatory fields to create a new record quickly,Otvoriť dialóg s povinnými poľami na rýchle vytvorenie nového záznamu
Open a module or tool,Otvorte modul alebo nástroj
Open in a new tab,Otvoriť na novej karte
Open list item,Otvoriť položku zoznamu
Open your authentication app on your mobile phone.,Otvorte autentifikačnú aplikáciu na svojom mobilnom telefóne.
Open {0},Otvoriť {0}
OpenID Configuration,Otvorená konfigurácia ID
OpenLDAP,OpenLDAP
Opened,Otvorené
Operation,Operácia
Operator must be one of {0},Operátor musí byť jedna z {0}
Optimize,Optimalizovať
Optimizing image...,Optimalizácia obrázka...
Option 1,Možnosť 1
Option 2,Možnosť 2
Option 3,Možnosť 3
Option {0} for field {1} is not a child table,Možnosť {0} pre pole {1} nie je podriadenou tabuľkou
Optional: Always send to these ids. Each Email Address on a new row,Voliteľné: Vždy posielať na tieto ID. Každá e-mailová adresa na nový riadok.
Optional: The alert will be sent if this expression is true,"Voliteľné: Upozornenie bude odoslané, ak je tento výraz pravdivý"
Options,Možnosti
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Možnosti typu poľa 'Dynamický odkaz' musia smerovať na iné pole typu Odkaz s možnosťami ako 'DocType'
Options Help,Možnosti Pomocník
Options for Rating field can range from 3 to 10,Možnosti pre pole Hodnotenie môžu byť v rozsahu od 3 do 10
Options for select. Each option on a new line.,Možnosti pre výber. Každá možnosť na novom riadku.
Options for {0} must be set before setting the default value.,Možnosti pre {0} musia byť nastavené pred nastavením predvolenej hodnoty.
Options is required for field {0} of type {1},Možnosti sú povinné pre pole {0} typu {1}
Options not set for link field {0},Možnosti nie sú nastavené pre odkazové pole {0}
Orange,Oranžová
Order,Poradie
Org History,História organizácie
Org History Heading,Nadpis histórie organizácie
Orientation,Orientácia
Original Value,Pôvodná hodnota
Other,Iné
Outgoing (SMTP) Settings,Odchádzajúce (SMTP) nastavenia
Outgoing Emails (Last 7 days),Odchádzajúce e-maily (Posledných 7 dní)
Outgoing Server,Odchádzajúci server
Outgoing Settings,Nastavenia odchádzajúcej pošty
Outgoing email account not correct,Nesprávny účet odchádzajúcej pošty
Outlook.com,Outlook.com
Output,Výstup
Overview,Prehľad
Owner,Vlastník
PATCH,PATCH
PDF,PDF
PDF Generation in Progress,Generovanie PDF prebieha
PDF Page Height (in mm),Výška strany PDF (v mm)
PDF Page Size,Veľkosť stránky PDF
PDF Page Width (in mm),Šírka strany PDF (v mm)
PDF Settings,Nastavenia PDF
PDF generation failed,Generovanie PDF zlyhalo
PDF generation failed because of broken image links,Generovanie PDF zlyhalo kvôli nefunkčným odkazom na obrázky
PDF generation may not work as expected.,Generovanie PDF nemusí fungovať podľa očakávania.
"PDF printing via ""Raw Print"" is not supported.","PDF tlač cez ""Raw Print"" nie je podporovaná."
PID,PID
POST,POST
PUT,PUT
Package,Balík
Package Import,Import balíka
Package Name,Názov balíka
Package Release,Vydanie balíka
Packages,Balíky
"Packages are lightweight apps (collection of Module Defs) that can be created, imported, or released right from the UI","Balíky sú ľahké aplikácie (kolekcia definícií modulov), ktoré môžu byť vytvorené, importované alebo vydané priamo z používateľského rozhrania."
Page,Stránka
Page Break,Zlom strany
Page Builder,Staviteľ stránok
Page Building Blocks,Stavebné bloky stránky
Page HTML,HTML stránky
Page Height (in mm),Výška stránky (v mm)
Page Margins,Okraje stránky
Page Name,Názov stránky
Page Number,Číslo strany
Page Route,Trasa stránky
Page Saved Successfully,Stránka bola úspešne uložená
Page Settings,Nastavenia stránky
Page Shortcuts,Skratky stránky
Page Size,Veľkosť stránky
Page Title,Názov stránky
Page Width (in mm),Šírka stránky (v mm)
Page has expired!,Stránka vypršala!
Page height and width cannot be zero,Výška a šírka stránky nemôžu byť nula
Page not found,Stránka nenájdená
Page to show on the website,Stránka na zobrazenie na webovej stránke
Page with title {0} already exist.,Stránka s názvom {0} už existuje.
Page {0} of {1},Strana {0} z {1}
Parameter,Parameter
Parent,Rodič
Parent DocType,Nadradený DocType
Parent Document Type,Nadradený typ dokumentu
Parent Document Type is required to create a number card,Rodičovský typ dokumentu je potrebný na vytvorenie číselnej karty
Parent Element Selector,Selektor nadriadeného prvku
Parent Field,Rodičovské pole
Parent Field (Tree),Nadradené pole (Strom)
Parent Field must be a valid fieldname,Pole Nadriadeného musí byť platným názvom poľa
Parent Label,Nadradená značka
Parent Missing,Nadriadený chýba
Parent Page,Nadradená stránka
Parent Table,Rodičovská tabuľka
Parent document type is required to create a dashboard chart,Názov rodičovského dokumentu je potrebný na vytvorenie grafu v dashboarde
Parent is the name of the document to which the data will get added to.,"Rodič je názov dokumentu, ku ktorému budú údaje pridané."
Parentfield not specified in {0}: {1},Pole nadriadeného `parentfield` nie je špecifikované v {0}: {1}
"Parenttype, Parent and Parentfield are required to insert a child record","""Parenttype"", ""Parent"" a ""Parentfield"" sú potrebné na vloženie záznamu dieťaťa."
Partial,Čiastočne
Partial Success,Čiastočný úspech
Partially Sent,Čiastočne odoslané
Participants,Účastníci
Pass,Prejsť
Passive,Pasívny
Password,Heslo
Password Email Sent,E-mail s heslom odoslaný
Password Reset,Obnovenie hesla
Password Reset Link Generation Limit,Limit generovania odkazu na obnovenie hesla
Password cannot be filtered,Heslo nemôže byť filtrované
Password changed successfully.,Heslo bolo úspešne zmenené.
Password for Base DN,Heslo pre základné DN
Password is required or select Awaiting Password,Je potrebné zadať heslo alebo vybrať Čakajúce heslo
Password missing in Email Account,Chýbajúce heslo v e-mailovom účte
Password not found for {0} {1} {2},Heslo nebolo nájdené pre {0} {1} {2}
Password reset instructions have been sent to your email,Pokyny na obnovenie hesla boli odoslané na váš email.
Password set,Nastavenie hesla
Password size exceeded the maximum allowed size,Veľkosť hesla prekročila maximálne povolenú veľkosť
Password size exceeded the maximum allowed size.,Veľkosť hesla prekročila maximálne povolenú veľkosť.
Passwords do not match,Heslá sa nezhodujú
Passwords do not match!,Heslá sa nezhodujú!
Past dates are not allowed for Scheduling.,Minulé dátumy nie sú povolené pre plánovanie.
Paste,Prilepiť
Patch,Záplata
Patch Log,Denník opráv
Patch type {} not found in patches.txt,Typ úpravy {} nebol nájdený v patches.txt
Path,Cesta
Path to CA Certs File,Cesta k súboru s certifikátmi CA
Path to Server Certificate,Cesta k certifikátu servera
Path to private Key File,Cesta k súboru súkromného kľúča
Path {0} it not a valid path,Cesta {0} nie je platná cesta
Payload Count,Počet zásielok
Pending,Čakajúci
Pending Approval,Čaká na schválenie
Pending Emails,Čakajúce e-maily
Pending Jobs,Čakajúce úlohy
Pending Verification,Čaká sa na overenie
Percent,Percento
Percentage,Percento
Period,Obdobie
Perm Level,Úroveň povolenia
Permanent,Trvalá
Permanently Cancel {0}?,Trvalo zrušiť {0}?
Permanently Submit {0}?,Trvalo odoslať {0}?
Permanently delete {0}?,Natrvalo odstrániť {0}?
Permission Error,Chyba povolenia
Permission Inspector,Inšpektor povolení
Permission Level,Úroveň povolenia
Permission Levels,Úrovne povolení
Permission Manager,Správca povolení
Permission Query,Dotaz na povolenie
Permission Rules,Pravidlá povolení
Permission Type,Typ povolenia
Permissions,Oprávnenia
Permissions Error,Chyba oprávnení
Permissions are automatically applied to Standard Reports and searches.,Oprávnenia sú automaticky uplatnené na Štandardné správy a vyhľadávania.
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","Oprávnenia sú nastavené na Role a Typy dokumentov (nazývané DocTypes) nastavením práv ako Čítanie, Zápis, Vytváranie, Odstránenie, Odoslanie, Zrušenie, Úpravy, Report, Import, Export, Tlač, Email a Nastavenie užívateľských oprávnení."
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Povolenia na vyšších úrovniach sú povolenia na úrovni poľa. Všetky polia majú nastavenú úroveň povolenia, voči ktorej sú nastavené pravidlá, ktoré sa na pole vzťahujú. Toto je užitočné v prípade, ak chcete skryť alebo urobiť určité pole iba na čítanie pre určité úlohy."
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","Povolenia na úrovni 0 sú povolenia na úrovni dokumentu, t.j. sú primárne pre prístup k dokumentu."
Permissions get applied on Users based on what Roles they are assigned.,"Oprávnenia sa uplatňujú na používateľov na základe toho, aké roly sú im pridelené."
Permitted Documents For User,Povolené dokumenty pre používateľa
Permitted Roles,Povolené úlohy
Personal,Osobné
Personal,Osobné
Personal Data Deletion Request,Žiadosť o vymazanie osobných údajov
Personal Data Deletion Step,Krok na vymazanie osobných údajov
Personal Data Download Request,Žiadosť o stiahnutie osobných údajov
Phone,Telefón
Phone No.,Telefónne číslo.
Phone Number {0} set in field {1} is not valid.,Telefónne číslo {0} uvedené v poli {1} nie je platné.
Pick Columns,Vybrať stĺpce
Pie,Koláč
Pincode,PČS
Pink,Ružová
Placeholder,Zástupný symbol
Plain Text,Prostý text
Plant,Rastlina
Please Authorize OAuth for Email Account {},"Prosím, povolte OAuth pre e-mailový účet {}"
Please Duplicate this Website Theme to customize.,"Prosím, duplikujte túto tému webovej stránky na prispôsobenie."
Please Install the ldap3 library via pip to use ldap functionality.,"Prosím, nainštalujte knižnicu ldap3 pomocou pip na použitie funkcie ldap."
Please Set Chart,Prosím nastavte graf
Please Update SMS Settings,"Prosím, aktualizujte nastavenia SMS"
Please add a subject to your email,"Prosím, pridajte predmet k vášmu emailu"
Please add a valid comment.,"Prosím, pridajte platný komentár."
Please ask your administrator to verify your sign-up,"Požiadajte, prosím, svojho správcu, aby overil vašu registráciu."
Please attach a file first.,Najprv prosím priložte súbor.
Please attach an image file to set HTML for Footer.,Pripojte obrázkový súbor na nastavenie HTML pre pätičku.
Please attach an image file to set HTML for Letter Head.,Pripojte obrázkový súbor na nastavenie HTML pre hlavičkový papier.
Please attach the package,"Prosím, pripojte balík."
Please check OpenID Configuration URL,Skontrolujte prosím URL konfigurácie OpenID
Please check the filter values set for Dashboard Chart: {},"Prosím, skontrolujte hodnoty filtrov nastavené pre Dashboard graf: {}"
"Please check the value of ""Fetch From"" set for field {0}","Skontrolujte hodnotu položky ""Fetch From"" nastavenej pre pole {0}"
Please check your email for verification,Skontrolujte prosím svoj email kvôli overeniu
Please check your email login credentials.,Skontrolujte prosím prihlasovacie údaje do vášho e-mailu.
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Prosím, skontrolujte svoju registrovanú emailovú adresu, kde nájdete pokyny, ako postupovať ďalej. Nezatvárajte toto okno, pretože sa k nemu budete musieť vrátiť."
Please click on the following link and follow the instructions on the page. {0},"Prosím, kliknite na nasledujúci odkaz a postupujte podľa pokynov na stránke. {0}"
Please click on the following link to set your new password,"Prosím, kliknite na nasledujúci odkaz pre nastavenie nového hesla"
Please close this window,"Prosím, zatvorte toto okno"
Please confirm your action to {0} this document.,"Prosím, potvrďte svoju akciu na {0} tento dokument."
Please contact your system manager to install correct version.,"Prosím, kontaktujte svojho správcu systému na inštaláciu správnej verzie."
Please create Card first,"Najprv, prosím, vytvorte kartu."
Please create chart first,Najprv prosím vytvorte graf
Please delete the field from {0} or add the required doctype.,"Prosím, odstráňte pole z {0} alebo pridajte požadovaný doctype."
Please do not change the template headings.,"Prosím, nemeníte hlavičky šablóny."
Please duplicate this to make changes,"Prosím, duplikujte to, aby ste mohli urobiť zmeny."
Please enable atleast one Social Login Key or LDAP or Login With Email Link before disabling username/password based login.,"Prosím, povolte aspoň jeden kľúč na prihlásenie cez sociálnu sieť, LDAP alebo Prihlásenie s odkazom prostredníctvom e-mailu predtým, než zakážete prihlásenie pomocou používateľského mena/hesla."
Please enable pop-ups,"Prosím, povoľte vyskakovacie okná"
Please enable pop-ups in your browser,"Prosím, povoľte vyskakovacie okná vo vašom prehliadači"
Please enable {} before continuing.,"Prosím, povoľte {} pred pokračovaním."
Please ensure that your profile has an email address,"Prosím, uistite sa, že váš profil má e-mailovú adresu"
Please enter Access Token URL,Prosím zadajte URL adresu pre prístupový token
Please enter Authorize URL,"Prosím, zadajte Authorize URL"
Please enter Base URL,"Prosím, zadajte základnú URL adresu"
Please enter Client ID before social login is enabled,"Prosím zadajte Client ID predtým, ako bude povolené sociálne prihlásenie."
Please enter Client Secret before social login is enabled,"Prosím, zadajte Client Secret predtým, ako bude povolené prihlásenie cez sociálne siete."
Please enter OpenID Configuration URL,"Prosím, zadajte URL adresu konfigurácie OpenID"
Please enter Redirect URL,Zadajte presmerovaciu URL adresu
Please enter a valid email address.,"Prosím, zadajte platnú e-mailovú adresu."
Please enter both your email and message so that we can get back to you. Thanks!,"Prosím, zadajte svoju e-mailovú adresu aj správu, aby sme sa vám mohli ozvať. Ďakujeme!"
Please enter the password,"Prosím, zadajte heslo"
Please enter the password for: <b>{0}</b>,"Prosím, zadajte heslo pre: <b>{0}</b>"
Please enter valid mobile nos,"Prosím, zadajte platné mobilné čísla"
Please enter your new password.,"Prosím, zadajte svoje nové heslo."
Please enter your old password.,"Prosím, zadajte svoje staré heslo."
Please find attached {0}: {1},"Prosím, nájdite v prílohe {0}: {1}"
Please hide the standard navbar items instead of deleting them,"Prosím, skryte štandardné položky navigačného panela namiesto ich odstránenia"
Please login to post a comment.,"Prosím, prihláste sa, aby ste mohli pridať komentár."
Please make sure the Reference Communication Docs are not circularly linked.,"Uistite sa, že Referenčné komunikačné dokumenty nie sú kruhovo prepojené."
Please refresh to get the latest document.,"Obnovte stránku, aby ste získali najnovší dokument."
Please remove the printer mapping in Printer Settings and try again.,"Prosím, odstráňte mapovanie tlačiarne v nastaveniach tlačiarne a skúste to znova."
Please save before attaching.,Pred pripojením prosím uložte.
Please save the Newsletter before sending,Uložte prosím Newsletter pred odoslaním
Please save the document before assignment,Uložte dokument pred priradením
Please save the document before removing assignment,Uložte dokument pred odstránením priradenia
Please save the report first,Najprv uložte správu.
Please save to edit the template.,"Prosím, uložte na úpravu šablóny."
Please select Company,"Prosím, vyberte spoločnosť"
Please select DocType first,Najprv vyberte DocType
Please select Entity Type first,"Prosím, najskôr vyberte typ entity"
Please select Minimum Password Score,"Prosím, vyberte Minimálne Skóre Hesla"
Please select X and Y fields,"Prosím, vyberte polia X a Y"
Please select a country code for field {1}.,Prosím vyberte kód krajiny pre pole {1}.
Please select a file first.,Najprv prosím vyberte súbor.
Please select a file or url,Prosím vyberte súbor alebo url
Please select a valid csv file with data,Prosím vyberte platný csv súbor s dátami
Please select a valid date filter,"Vyberte, prosím, platný filter dátumu"
Please select applicable Doctypes,"Prosím, vyberte príslušné Typy dokumentov"
Please select atleast 1 column from {0} to sort/group,"Prosím, vyberte aspoň 1 stĺpec z {0} na zoradenie/skupinu."
Please select prefix first,Najprv vyberte predponu
Please select the Document Type.,"Prosím, vyberte typ dokumentu."
Please select the LDAP Directory being used,"Prosím, vyberte používaný adresárový server LDAP."
Please select {0},"Vyberte, prosím, {0}"
Please set Dropbox access keys in site config or doctype,"Prosím, nastavte prístupové kľúče Dropbox v konfigurácii stránky alebo v doctype."
Please set Email Address,Nastavte prosím e-mailovú adresu
Please set a printer mapping for this print format in the Printer Settings,Nastavte mapovanie tlačiarne pre tento formát tlače v nastaveniach tlačiarne.
Please set filters,"Prosím, nastavte filtre"
Please set filters value in Report Filter table.,"Prosím, nastavte hodnoty filtrov v tabuľke filtrov správ."
Please set the document name,"Prosím, nastavte názov dokumentu"
Please set the following documents in this Dashboard as standard first.,Nastavte prosím nasledujúce dokumenty na tomto Paneli ako štandardné najskôr.
Please set the series to be used.,"Prosím, nastavte sériu, ktorá sa má použiť."
"Please setup SMS before setting it as an authentication method, via SMS Settings","Prosím nastavte SMS predtým, ako ju nastavíte ako metódu overovania, cez Nastavenia SMS."
Please setup a message first,Najprv prosím nastavte správu
Please setup default Email Account from Settings > Email Account,Nastavte si predvolený e-mailový účet v časti Nastavenia > E-mailový účet
Please setup default outgoing Email Account from Settings > Email Account,"Prosím, nastavte predvolený odchádzajúci e-mailový účet v časti Nastavenia > E-mailový účet."
Please specify,"Prosím, zadajte"
Please specify a valid parent DocType for {0},Prosím špecifikujte platný nadradený DocType pre {0}
Please specify which date field must be checked,"Prosím, špecifikujte, ktoré dátumové pole musí byť skontrolované"
Please specify which value field must be checked,"Prosím, uveďte, ktoré pole s hodnotou musí byť skontrolované"
Please try again,Skúste znova
Please update {} before continuing.,"Prosím, aktualizujte {} pred pokračovaním."
Please use a valid LDAP search filter,"Prosím, použite platný filter vyhľadávania LDAP."
Please verify your Email Address,"Prosím, overte svoju e-mailovú adresu"
Please visit https://frappecloud.com/docs/sites/migrate-an-existing-site#encryption-key for more information.,Navštívte prosím https://frappecloud.com/docs/sites/migrate-an-existing-site#encryption-key pre viac informácií.
Point Allocation Periodicity,Periodickosť prideľovania bodov
Points,Body: `Body Points`
Points Given,Body text: `Body pridelené`
Polling,Opýtavanie
Popover Element,Prvok popoveru
Popover or Modal Description,Popis popoveru alebo modálneho okna
Port,Port
Portal,Portál
Portal Menu,Portálové menu
Portal Menu Item,Položka menu portálu
Portal Settings,Nastavenia portálu
Portrait,Portrét
Position,Pozícia
Post,Príspevok
"Post it here, our mentors will help you out.","Uverejnite to sem, naši mentori vám pomôžu."
Postal,Poštová
Postal Code,Poštové smerovacie číslo
Posting Timestamp,Časová pečiatka uverejnenia
Posts,Príspevky
Posts by {0},Príspevky od {0}
Posts filed under {0},Príspevky zaradené pod {0}
Precision,Presnosť
Precision should be between 1 and 6,Presnosť by mala byť medzi 1 a 6
Predictable substitutions like '@' instead of 'a' don't help very much.,Predikovateľné substitúcie ako '@' namiesto 'a' nepomáhajú veľmi.
Prefer not to say,„Radšej neuvádzať“
Preferred Billing Address,Preferovaná fakturačná adresa
Preferred Shipping Address,Preferovaná dodacia adresa
Prefix,Prefix
Prepared Report,Pripravená správa
Prepared Report User,Používateľ pripravených správ
Prepared report render failed,Príprava vykreslenia zostavy zlyhala
Preparing Report,Príprava správy
Prepend the template to the email message,Pripojiť šablónu k emailovej správe
Press Alt Key to trigger additional shortcuts in Menu and Sidebar,"Stlačte kláves Alt, aby ste spustili ďalšie skratky v Menu a Bočnom paneli"
Press Enter to save,Stlačte Enter pre uloženie
Preview,Náhľad
Preview HTML,Náhľad HTML
Preview Image,Náhľadový obrázok
Preview Message,Ukážková správa
Preview Mode,Režim ukážky
Preview of generated names,Náhľad vygenerovaných mien
Preview type,Typ náhľadu
Preview:,Náhľad:
Previous,Predošlý
Previous,Predošlý
Previous Document,Predchádzajúci dokument
Previous Hash,Predchádzajúci hash
Previous Submission,Predchádzajúce odoslanie
Primary,Primárna
Primary Address,Primárna adresa
Primary Color,Primárna farba
Primary Contact,Primárny kontakt
Primary Email,Primárny email
Primary Mobile,Primárny mobilný telefón
Primary Phone,Primárny telefón
Print,Tlačiť
Print,Tlačiť
Print Documents,Tlačiť dokumenty
Print Format,Formát tlače
Print Format Builder,Nástroj na vytváranie tlačových formátov
Print Format Builder (New),Tvorca tlačového formátu (Nový)
Print Format Builder Beta,Beta nástroj pre tvorbu tlačových formátov
Print Format Error,Chyba formátu tlače
Print Format Field Template,Šablóna poľa formátu tlače
Print Format Help,Pomoc pre formát tlače
Print Format Type,Typ formátu tlače
Print Format {0} is disabled,Print formát {0} je zakázaný
Print Formats allow you can define looks for documents when printed or converted to PDF. You can also create a custom Print Format using drag-and-drop tools.,Formáty tlače vám umožňujú definovať vzhľad dokumentov pri tlači alebo konverzii do PDF. Môžete tiež vytvoriť vlastný formát tlače pomocou nástrojov „drag-and-drop“.
Print Heading,Tlačová hlavička
Print Hide,Skryť pri tlači
Print Hide If No Value,"Skryť tlač, ak nie je hodnota"
Print Language,Jazyk tlače
Print Sent to the printer!,Odoslané do tlačiarne!
Print Server,Tlačový server
Print Settings,Nastavenia tlače
Print Style,Štýl tlače
Print Style Name,Názov štýlu tlače
Print Style Preview,Náhľad štýlu tlače
Print Width,Šírka tlače
"Print Width of the field, if the field is a column in a table","Šírka tlače poľa, ak je pole stĺpcom v tabuľke"
Print document,Tlačiť dokument
Print with letterhead,Tlačiť s hlavičkovým papierom
Printer,Tlačiareň
Printer Mapping,Mapovanie tlačiarne
Printer Name,Názov tlačiarne
Printer Settings,Nastavenia tlačiarne
Printer mapping not set.,Nie je nastavené mapovanie tlačiarne.
Printing,Tlač
Printing failed,Tlač zlyhala
Priority,Priorita
Private,Súkromné
Private Files (MB),Súkromné súbory (MB)
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Pridajte <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> na odoslanie referencie dokumentu
Proceed,Pokračovať
Proceed Anyway,Pokračovať aj tak
Processing,Spracovávanie
Processing...,Spracováva sa...
Prof,Prof
Profile,Profil
Progress,Postup
Project,Projekt
Property,Vlastnosť
Property Depends On,Vlastnosť závisí na
Property Setter,"""Nastavovač vlastností"""
Property Setter overrides a standard DocType or Field property,Property Setter prepíše štandardnú vlastnosť DocType alebo vlastnosť Poľa
Property Type,Typ vlastnosti
"Provide a list of allowed file extensions for file uploads. Each line should contain one allowed file type. If unset, all file extensions are allowed. Example: <br>CSV<br>JPG<br>PNG","Poskytnite zoznam povolených prípon súborov pre nahrávanie súborov. Každý riadok by mal obsahovať jeden povolený typ súboru. Ak nie je nastavené, sú povolené všetky prípony súborov. Príklad: <br>CSV<br>JPG<br>PNG"
Provider,Poskytovateľ
Provider Name,Názov poskytovateľa
Public,Verejné
Public,Verejné
Public Files (MB),Verejné súbory (MB)
Publish,Publikovať
Publish as a web page,Publikovať ako webovú stránku
Published,Publikované
Published On,Publikované dňa
Published on,Zverejnené dňa
Publishing Dates,Publikačné dátumy
Pull from Google Calendar,Ťahať z Google Kalendára
Pull from Google Contacts,Načítať z Google kontaktov
Pulled from Google Calendar,Načítané z Kalendára Google
Pulled from Google Contacts,Stiahnuté z Google Kontaktov
Purchase Manager,Manažér nákupu
Purchase Master Manager,Manažér hlavného nákupu
Purchase User,Používateľ nákupu
Purple,Fialová
Push Notification Settings,Nastavenia push notifikácií
Push Notifications,Push notifikácie
Push to Google Calendar,Odoslať do Google Kalendára
Push to Google Contacts,Push do Google Kontaktov
Put on Hold,Pozastavené
Python,Python
QR Code,QR kód
QR Code for Login Verification,QR kód na overenie prihlásenia
QZ Tray Failed:,Zlyhalo QZ Tray:
Quarterly,Štvrťročne
Query,Dopyt
Query / Script,Dopyt / Skript
Query Options,Možnosti dotazu
Query Parameters,Parameter Query
Query Report,Dotazovací report
Query analysis complete. Check suggested indexes.,Analýza dotazu dokončená. Skontrolujte navrhované indexy.
Query must be of SELECT or read-only WITH type.,Dopyt musí byť typu SELECT alebo typu read-only WITH.
Queue,Poradie
Queue Status,Stav frontu
Queue Type(s),Typ(y) fronty
Queue in Background (BETA),Spracovať na pozadí (BETA)
Queue should be one of {0},Poradie by malo byť jedno z {0}
Queue(s),Front(a/y)
Queued,Zaradené do fronty
Queued At,Zaradené do fronty o
Queued By,Vo fronte podľa
Queued for Submission. You can track the progress over {0}.,Čaká na odoslanie. Môžete sledovať priebeh nad {0}.
Queued for backup. It may take a few minutes to an hour.,Zaradené do fronty na zálohovanie. Môže to trvať niekoľko minút až hodinu.
Queued for backup. You will receive an email with the download link,Zaradené do poradia na zálohovanie. Dostanete email s odkazom na stiahnutie
Queued {0} emails,Zaradených do fronty {0} emailov
Queues,Fronty
Queuing emails...,Zaraďovanie e-mailov do fronty...
Queuing {0} for Submission,Zaradenie {0} na odoslanie
Quick Entry,Rýchly zápis
Quick Help for Setting Permissions,Rýchla pomoc pri nastavení oprávnení
Quick List Filter,Rýchly zoznam - filter
Quick Lists,Rýchle zoznamy
Quoting must be between 0 and 3,Kótovanie musí byť medzi 0 a 3
RAW Information Log,Záznam surových informácií
RQ Job,Úloha RQ
RQ Worker,RQ pracovník
Random,Náhodný
Range,Rozsah
Rank,Hodnosť
Rate Limiting,Obmedzovanie rýchlosti
Rate Limits,Limitácia rýchlosti
Rate limit for email link login,Limit rýchlosti pre prihlásenie pomocou emailového odkazu
Rating,Hodnotenie
Raw Commands,Surové príkazy
Raw Email,Raw Email
Raw Printing,Surová tlač
Raw Printing Setting,Nastavenie surového tlače
Raw Printing Settings,Nastavenia surového tlače
Re-Run in Console,Spustiť znova v konzole
Re:,Re:
Re: {0},Re: {0}
Read,Prečítať
Read Only,Iba na čítanie
Read Only Depends On,Len na čítanie závisí na
Read Only Depends On (JS),Iba na čítanie závisí od (JS)
Read Only Mode,Režim iba na čítanie
Read Time,Čas čítania
Read by Recipient,Prečítané prijímateľom
Read by Recipient On,Prečítané príjemcom dňa
Read mode,Režim čítania
Read the documentation to know more,"Prečítajte si dokumentáciu, aby ste sa dozvedeli viac"
Readme,Súbor Readme
Realtime (SocketIO),V reálnom čase (SocketIO)
Reason,Dôvod
Rebuild,Znovu postaviť
Rebuild Tree,Znovu zostaviť strom
Rebuilding of tree is not supported for {},Prestavba stromu nie je podporovaná pre {}
Received,Prijaté
Received an invalid token type.,Dostal sa nesprávny typ tokenu.
Receiver By Document Field,Príjemca podľa poľa dokumentu
Receiver By Role,Príjemca podľa roly
Receiver Parameter,Prijímací parameter
Recent Activity,Nedávna aktivita
Recent years are easy to guess.,Nedávne roky sa dajú ľahko uhádnuť.
Recents,Nedávne
Recipient,Príjemca
Recipient Unsubscribed,Príjemca sa odhlásil
Recipients,Príjemcovia
Recorder,Rekordér
Recorder Query,"""Záznamník dotazu"""
Recorder Suggested Index,Navrhovaný index zapisovača
Records for following doctypes will be filtered,Záznamy pre nasledujúce typy dokumentov budú filtrované.
Recursive Fetch From,Rekurzívne načítanie z
Red,Červená
Redirect HTTP Status,Presmerovanie stav HTTP
Redirect URI,Presmerovať URI
Redirect URI Bound To Auth Code,Presmerovať URI zviazané s kódom autorizácie
Redirect URIs,Presmerovacie URI
Redirect URL,Presmerovať URL adresu
Redirect to the selected app after login,Presmerovať na vybranú aplikáciu po prihlásení
Redirect to this URL after successful confirmation.,Presmerovať na túto URL adresu po úspešnom potvrdení.
Redirects,Presmerovania
Redis cache server not running. Please contact Administrator / Tech support,"Redis cache server nebeží. Kontaktujte, prosím, administrátora / technickú podporu."
Redo,Opakovať
Redo last action,Znova vykonať poslednú akciu
Ref DocType,Referenčný typ dokumentu
Referance Doctype and Dashboard Name both can't be used at the same time.,Referencia Dokumentový typ a Názov nástenky nemôžu byť použité súčasne.
Reference,Referencia
Reference Date,Referenčný dátum
Reference DocName,Referencia názov dokumentu
Reference DocType,Referenčný DocType
Reference DocType and Reference Name are required,Referenčný DocType a Referenčné meno sú povinné
Reference Docname,Názov referencie dokumentu
Reference Doctype,Referenčný Doctype
Reference Document,Referenčný dokument
Reference Document Name,Názov referenčného dokumentu
Reference Document Type,Referenčný typ dokumentu
Reference Name,Názov odkazu
Reference Owner,Vlastník referencie
Reference Report,Referenčná správa
Reference Type,Typ referencie
